"Onegram" "Freq"
"34437" "though" 235
"34185" "thanks" 228
"12916" "find" 225
"25051" "part" 223
"15933" "help" 222
"19651" "left" 216
"27321" "put" 216
"6634" "city" 214
"11451" "end" 213
"33322" "sure" 212
"12455" "family" 210
"4542" "both" 209
"2978" "away" 207
"10785" "during" 207
"14444" "give" 207
"18731" "keep" 206
"10243" "does" 205
"3869" "better" 204
"8929" "days" 204
"16086" "high" 204
"21944" "million" 204
"29824" "says" 204
"30195" "second" 204
"35649" "u" 204
"3880" "between" 202
"15701" "having" 202
"18071" "ive" 201
"14339" "getting" 200
"16563" "house" 199
"34349" "thing" 199
"33893" "team" 198
"1305" "against" 197
"10312" "don’t" 197
"4442" "book" 194
"24072" "old" 194
"34440" "thought" 194
"21869" "might" 193
"32460" "start" 193
"37750" "without" 193
"30170" "season" 192
"25999" "play" 190
"15519" "happy" 189
"11925" "ever" 188
"13524" "found" 187
"9701" "didnt" 186
"14580" "god" 186
"13647" "free" 185
"29328" "rt" 185
"32338" "st" 185
"34646" "times" 183
"38278" "yet" 183
"26128" "point" 180
"36239" "used" 180
"16444" "hope" 179
"25428" "percent" 179
"13536" "four" 177
"10323" "done" 176
"11551" "enough" 176
"13331" "follow" 175
"34782" "told" 175
"27807" "read" 174
"29402" "run" 174
"26104" "pm" 173
"5452" "called" 171
"22325" "money" 171
"19771" "let" 170
"20779" "making" 168
"3120" "bad" 167
"7271" "company" 167
"19614" "least" 167
"20116" "live" 167
"10266" "doing" 166
"24141" "once" 165
"30518" "set" 165
"37322" "went" 165
"15537" "hard" 164
"35797" "under" 164
"5445" "call" 162
"34846" "took" 162
"6374" "children" 161
"34860" "top" 161
"13354" "food" 160
"20598" "m" 160
"4064" "bit" 159
"26168" "police" 158
"1676" "already" 157
"9725" "different" 157
"20320" "looking" 157
"27827" "real" 157
"35397" "trying" 157
"16041" "hes" 156
"16845" "i’m" 156
"26708" "pretty" 156
"1652" "almost" 155
"5484" "came" 153
"27167" "public" 153
"13878" "fun" 151
"24027" "oh" 151
"8106" "county" 150
"38343" "youre" 150
"5253" "business" 149
"1350" "ago" 147
"5642" "car" 147
"22781" "must" 147
"2129" "anything" 146
"10896" "early" 146
"19758" "less" 146
"31795" "someone" 146
"2125" "anyone" 145
"18361" "job" 145
"7181" "coming" 144
"20773" "makes" 143
"22377" "month" 143
"25131" "past" 143
"37894" "working" 143
"15061" "group" 142
"16975" "ill" 142
"19424" "later" 142
"17235" "including" 141
"20250" "lol" 141
"32462" "started" 141
"3704" "believe" 140
"29193" "room" 140
"1005" "actually" 139
"35395" "try" 139
"12493" "far" 138
"22451" "morning" 138
"22759" "music" 138
"13741" "friends" 137
"32743" "story" 137
"37083" "water" 137
"37623" "win" 137
"4098" "black" 136
"11949" "everyone" 136
"15817" "heart" 136
"20374" "lost" 136
"737" "able" 135
"4218" "blog" 135
"10246" "doesnt" 135
"13049" "five" 135
"19497" "law" 135
"25527" "person" 135
"29469" "s" 135
"33990" "tell" 135
"1659" "along" 133
"23617" "nothing" 133
"24023" "often" 133
"31849" "soon" 133
"864" "according" 132
"15762" "head" 132
"18908" "kind" 131
"30547" "several" 131
"31501" "small" 131
"34180" "thank" 131
"36997" "wanted" 131
"37456" "white" 131
"18866" "kids" 130
"15801" "health" 129
"16600" "however" 129
"22880" "name" 129
"24236" "open" 129
"36255" "using" 129
"33294" "support" 128
"37222" "weeks" 128
"13856" "full" 127
"7168" "comes" 126
"11953" "everything" 126
"34826" "tonight" 125
"38268" "yes" 125
"5673" "care" 124
"6113" "change" 124
"22047" "minutes" 124
"23714" "number" 124
"29805" "saw" 124
"30270" "seen" 123
"5993" "center" 122
"14732" "government" 122
"21291" "maybe" 122
"32715" "stop" 122
"2566" "asked" 121
"26352" "post" 121
"8127" "course" 120
"13717" "friday" 120
"16225" "hit" 120
"22811" "myself" 120
"5791" "case" 119
"36902" "wait" 119
"37483" "whole" 119
"37797" "women" 119
"31017" "side" 118
"34302" "theres" 118
"966" "across" 117
"13733" "friend" 117
"1792" "american" 115
"25956" "plan" 115
"3586" "become" 114
"22384" "months" 114
"23288" "nice" 114
"33696" "talk" 114
"34769" "together" 114
"37216" "weekend" 113
"1033" "add" 112
"3624" "beer" 112
"12348" "fact" 112
"16560" "hours" 112
"21418" "mean" 112
"25243" "pay" 112
"26666" "president" 112
"32524" "stay" 112
"2565" "ask" 111
"8650" "cut" 111
"19418" "late" 111
"33680" "taking" 111
"19921" "light" 110
"27473" "quite" 110
"38333" "young" 110
"2357" "area" 109
"8130" "court" 109
"17124" "important" 109
"22315" "monday" 109
"22957" "national" 109
"34625" "tim" 109
"12603" "favorite" 107
"14425" "girl" 107
"24466" "others" 107
"26016" "playing" 107
"26040" "please" 107
"28365" "remember" 107
"8100" "country" 106
"18385" "john" 106
"20190" "local" 106
"26831" "probably" 106
"29820" "saying" 106
"33593" "system" 106
"14447" "given" 105
"23993" "office" 105
"30871" "short" 105
"37861" "word" 105
"38309" "york" 105
"14044" "games" 104
"13503" "forward" 103
"15342" "half" 103
"34383" "third" 103
"3671" "behind" 102
"15812" "hear" 102
"20008" "line" 102
"37408" "whether" 102
"30269" "seems" 101
"12325" "face" 100
"12673" "federal" 100
"22105" "miss" 100
"26447" "power" 100
"29755" "saturday" 100
"32028" "special" 100
"34543" "thursday" 100
"35363" "true" 100
"12147" "experience" 99
"15225" "guys" 99
"18989" "knew" 99
"20065" "list" 99
"21567" "members" 99
"28036" "red" 99
"29039" "road" 99
"29417" "running" 99
"33194" "sunday" 99
"6551" "church" 98
"6840" "close" 98
"7862" "cool" 98
"11273" "else" 98
"19384" "large" 98
"25015" "park" 98
"27419" "question" 98
"27821" "ready" 98
"33477" "sweet" 98
"8114" "couple" 97
"13779" "front" 97
"21975" "mind" 97
"31821" "son" 97
"35494" "turn" 97
"37082" "watching" 97
"2919" "available" 96
"12905" "finally" 96
"17626" "instead" 96
"18003" "isnt" 96
"37074" "watch" 96
"4863" "bring" 95
"10106" "district" 95
"21423" "means" 95
"23242" "news" 95
"30504" "service" 95
"7257" "community" 94
"31929" "south" 94
"37749" "within" 94
"1699" "although" 93
"2291" "april" 93
"3036" "b" 93
"14600" "goes" 93
"16890" "idea" 93
"23088" "needs" 93
"32927" "students" 93
"35977" "university" 93
"6237" "check" 92
"15422" "hand" 92
"19776" "lets" 92
"22501" "mother" 92
"27875" "reason" 92
"32814" "street" 92
"38238" "yearold" 92
"1821" "among" 91
"8970" "deal" 91
"19954" "likely" 91
"26006" "played" 91
"26911" "program" 91
"26932" "project" 91
"3395" "based" 90
"9044" "decided" 90
"14155" "gave" 90
"15222" "guy" 90
"16539" "hot" 90
"23081" "needed" 90
"30483" "series" 90
"37870" "words" 90
"38026" "wrong" 90
"3558" "beautiful" 89
"11534" "enjoy" 89
"12880" "film" 89
"13471" "former" 89
"16222" "history" 89
"16846" "i’ve" 89
"20757" "major" 89
"22567" "move" 89
"31683" "social" 89
"37790" "woman" 89
"4455" "books" 88
"31811" "sometimes" 88
"34810" "tomorrow" 88
"6368" "child" 87
"6703" "class" 87
"7081" "college" 87
"11142" "either" 87
"34373" "thinking" 87
"8711" "d" 86
"16886" "id" 86
"17438" "information" 86
"25094" "party" 86
"1746" "amazing" 85
"14335" "gets" 85
"25444" "perfect" 85
"28490" "report" 85
"31165" "single" 85
"12897" "final" 84
"12957" "fire" 84
"20980" "march" 84
"24340" "order" 84
"33675" "taken" 84
"37065" "wasnt" 84
"2480" "art" 83
"5311" "buy" 83
"14924" "green" 83
"15813" "heard" 83
"24006" "officials" 83
"9837" "director" 82
"16556" "hour" 82
"23567" "north" 82
"26136" "points" 82
"27726" "rather" 82
"31242" "six" 82
"33847" "tax" 82
"1036" "added" 81
"3051" "baby" 81
"15503" "happen" 81
"19619" "leave" 81
"23036" "near" 81
"32493" "states" 81
"5090" "building" 80
"9700" "didn’t" 80
"20131" "living" 80
"22596" "mr" 80
"28659" "rest" 80
"32945" "stuff" 80
"37806" "wonderful" 80
"12697" "feet" 79
"14432" "girls" 79
"18017" "issue" 79
"24929" "paper" 79
"26853" "process" 79
"27816" "reading" 79
"31130" "simply" 79
"31393" "sleep" 79
"37801" "won" 79
"4313" "board" 78
"5521" "can’t" 78
"6911" "coach" 78
"11768" "especially" 78
"15133" "guess" 78
"22577" "movie" 78
"35267" "tried" 78
"35836" "understand" 78
"37000" "wants" 78
"3241" "band" 77
"3977" "bill" 77
"4042" "birthday" 77
"10943" "eat" 77
"21248" "matter" 77
"24559" "outside" 77
"36931" "walk" 77
"37058" "washington" 77
"8017" "cost" 76
"8988" "death" 76
"19789" "level" 76
"20124" "lives" 76
"20322" "looks" 76
"23813" "obama" 76
"26348" "possible" 76
"35290" "trip" 76
"38018" "writing" 76
"4961" "brought" 75
"5656" "card" 75
"12692" "feeling" 75
"16172" "himself" 75
"25738" "pick" 75
"30658" "share" 75
"32098" "spent" 75
"33166" "summer" 75
"33678" "takes" 75
"36737" "visit" 75
"37884" "worked" 75
"10604" "drive" 74
"16056" "hey" 74
"25001" "parents" 74
"35582" "twitter" 74
"3590" "bed" 73
"28000" "record" 73
"32892" "strong" 73
"35497" "turned" 73
"37334" "west" 73
"7483" "conference" 72
"14231" "general" 72
"15761" "he’s" 72
"34200" "that’s" 72
"35444" "tuesday" 72
"3571" "became" 71
"6153" "character" 71
"13336" "following" 71
"13946" "future" 71
"14451" "giving" 71
"15699" "havent" 71
"18367" "jobs" 71
"19554" "lead" 71
"20416" "loved" 71
"21052" "market" 71
"23045" "nearly" 71
"24045" "oil" 71
"27937" "recent" 71
"31828" "song" 71
"32358" "staff" 71
"1424" "air" 70
"4345" "body" 70
"4622" "boy" 70
"5344" "c" 70
"6099" "chance" 70
"7792" "control" 70
"8152" "cover" 70
"15661" "hate" 70
"21589" "men" 70
"25531" "personal" 70
"26183" "political" 70
"26837" "problem" 70
"29638" "san" 70
"34326" "theyre" 70
"38222" "yeah" 70
"4728" "break" 69
"6073" "challenge" 69
"8959" "dead" 69
"15834" "heat" 69
"31906" "sound" 69
"37374" "whats" 69
"37719" "wish" 69
"38012" "write" 69
"8286" "create" 68
"11916" "event" 68
"12292" "eyes" 68
"12828" "field" 68
"18284" "jersey" 68
"20278" "longer" 68
"24195" "online" 68
"26009" "players" 68
"37200" "wednesday" 68
"8880" "daughter" 67
"17232" "include" 67
"20316" "looked" 67
"22289" "mom" 67
"24173" "ones" 67
"25760" "picture" 67
"25969" "plans" 67
"37507" "whose" 67
"38347" "yourself" 67
"1790" "america" 66
"9364" "department" 66
"10247" "dog" 66
"12130" "expected" 66
"15049" "ground" 66
"18020" "issues" 66
"21504" "meet" 66
"25683" "phone" 66
"27938" "recently" 66
"29971" "schools" 66
"33702" "talking" 66
"34253" "themselves" 66
"34979" "town" 66
"37351" "weve" 66
"37905" "works" 66
"969" "act" 65
"12424" "fall" 65
"16289" "hold" 65
"16895" "ideas" 65
"20371" "loss" 65
"21460" "media" 65
"21505" "meeting" 65
"28688" "result" 65
"32466" "starting" 65
"37817" "wont" 65
"7112" "color" 64
"8576" "cup" 64
"17720" "interesting" 64
"31121" "simple" 64
"31958" "space" 64
"32255" "spring" 64
"37134" "ways" 64
"6744" "clear" 63
"8835" "dark" 63
"9170" "definitely" 63
"10492" "dr" 63
"12723" "felt" 63
"18549" "june" 63
"30417" "sense" 63
"37942" "worth" 63
"1471" "al" 62
"4274" "blue" 62
"4967" "brown" 62
"6770" "cleveland" 62
"7239" "common" 62
"8610" "current" 62
"9804" "dinner" 62
"10593" "drink" 62
"12569" "father" 62
"16676" "huge" 62
"19634" "led" 62
"24784" "page" 62
"27491" "r" 62
"30770" "shes" 62
"30946" "shows" 62
"36268" "usually" 62
"36869" "w" 62
"5061" "budget" 61
"5892" "cause" 61
"10354" "door" 61
"10998" "economy" 61
"16692" "human" 61
"19028" "known" 61
"21822" "middle" 61
"23985" "offer" 61
"28745" "return" 61
"30899" "shot" 61
"35064" "training" 61
"36616" "video" 61
"3195" "ball" 60
"3645" "began" 60
"4509" "born" 60
"7742" "continue" 60
"9053" "decision" 60
"10892" "earlier" 60
"15505" "happened" 60
"15908" "held" 60
"15919" "hell" 60
"17718" "interest" 60
"18060" "itself" 60
"31214" "sit" 60
"32094" "spend" 60
"37642" "wine" 60
"38271" "yesterday" 60
"10244" "doesn’t" 59
"11487" "energy" 59
"14642" "gone" 59
"14644" "gonna" 59
"17577" "inside" 59
"27427" "questions" 59
"29095" "rock" 59
"30256" "seeing" 59
"30401" "send" 59
"31885" "sorry" 59
"32415" "stand" 59
"33906" "teams" 59
"4955" "brother" 58
"12033" "excited" 58
"14456" "glad" 58
"15322" "hair" 58
"21777" "michael" 58
"24053" "ok" 58
"24282" "opportunity" 58
"25422" "per" 58
"28556" "research" 58
"35964" "united" 58
"37551" "wife" 58
"1312" "age" 57
"1624" "allow" 57
"3289" "bar" 57
"3953" "biggest" 57
"6025" "certain" 57
"8062" "council" 57
"8266" "crazy" 57
"10550" "dream" 57
"10942" "easy" 57
"19193" "la" 57
"22293" "moment" 57
"31221" "site" 57
"32727" "store" 57
"977" "action" 56
"2134" "anyway" 56
"3898" "beyond" 56
"5271" "busy" 56
"12481" "fans" 56
"13370" "foot" 56
"19598" "learn" 56
"22583" "moving" 56
"32096" "spending" 56
"32764" "straight" 56
"34924" "total" 56
"35543" "tweet" 56
"763" "above" 55
"1284" "afternoon" 55
"2934" "average" 55
"4635" "boys" 55
"5675" "career" 55
"6513" "christmas" 55
"7266" "companies" 55
"12845" "fight" 55
"12922" "fine" 55
"13928" "further" 55
"22568" "moved" 55
"25466" "perhaps" 55
"26097" "plus" 55
"30410" "senior" 55
"30508" "services" 55
"31105" "similar" 55
"31887" "sort" 55
"31914" "sounds" 55
"33068" "success" 55
"33240" "super" 55
"36908" "waiting" 55
"1" "=" 54
"386" "“i" 54
"5499" "campaign" 54
"10936" "east" 54
"11061" "education" 54
"12911" "financial" 54
"13214" "floor" 54
"14563" "goal" 54
"24034" "ohio" 54
"26735" "price" 54
"32580" "step" 54
"38323" "you’re" 54
"3542" "beat" 53
"8058" "couldnt" 53
"9141" "defense" 53
"9729" "difficult" 53
"13461" "form" 53
"14376" "gift" 53
"16773" "hurt" 53
"17741" "international" 53
"18794" "kept" 53
"18849" "kid" 53
"27094" "provide" 53
"28592" "residents" 53
"29273" "round" 53
"29790" "save" 53
"32733" "stories" 53
"36356" "value" 53
"36941" "walking" 53
"37954" "wouldnt" 53
"2770" "attention" 52
"2988" "awesome" 52
"5086" "build" 52
"6003" "central" 52
"6348" "chicken" 52
"6875" "club" 52
"7329" "complete" 52
"11382" "employees" 52
"12002" "example" 52
"18295" "jesus" 52
"20535" "lunch" 52
"21469" "medical" 52
"22490" "mostly" 52
"25111" "passed" 52
"29140" "role" 52
"29569" "sales" 52
"30242" "security" 52
"32436" "star" 52
"35527" "tv" 52
"36632" "view" 52
"37002" "war" 52
"37370" "whatever" 52
"45" "�" 51
"3140" "bag" 51
"5564" "cannot" 51
"8865" "data" 51
"11603" "entire" 51
"11988" "exactly" 51
"12126" "expect" 51
"12940" "finished" 51
"16092" "higher" 51
"19599" "learned" 51
"25473" "period" 51
"27931" "received" 51
"28284" "relationship" 51
"29384" "rules" 51
"35004" "track" 51
"36172" "upon" 51
"37189" "website" 51
"1827" "amount" 50
"3987" "billion" 50
"4563" "bought" 50
"5434" "california" 50
"6984" "coffee" 50
"8270" "cream" 50
"8893" "david" 50
"10566" "dress" 50
"10992" "economic" 50
"12326" "facebook" 50
"13447" "forget" 50
"16777" "husband" 50
"18002" "isn’t" 50
"18164" "january" 50
"18531" "july" 50
"20443" "lower" 50
"21689" "met" 50
"24214" "onto" 50
"26274" "popular" 50
"26477" "practice" 50
"26807" "private" 50
"26880" "product" 50
"26942" "projects" 50
"27504" "race" 50
"32487" "statement" 50
"34277" "ther" 50
"36835" "vote" 50
"37804" "wonder" 50
"1049" "addition" 49
"3266" "bank" 49
"5537" "cancer" 49
"6341" "chicago" 49
"9706" "died" 49
"11292" "email" 49
"12279" "eye" 49
"13398" "force" 49
"13698" "fresh" 49
"18950" "kitchen" 49
"25105" "pass" 49
"26303" "portland" 49
"27440" "quickly" 49
"30535" "seven" 49
"30820" "shit" 49
"34293" "there’s" 49
"36793" "voice" 49
"2039" "answer" 48
"3650" "begin" 48
"6026" "certainly" 48
"15298" "haha" 48
"19029" "knows" 48
"21884" "mike" 48
"24392" "original" 48
"28304" "released" 48
"29168" "romney" 48
"1502" "album" 47
"6360" "chief" 47
"7331" "completely" 47
"12694" "feels" 47
"12854" "figure" 47
"12939" "finish" 47
"14084" "garden" 47
"15248" "ha" 47
"16304" "holiday" 47
"17267" "increase" 47
"19332" "land" 47
"26330" "position" 47
"26840" "problems" 47
"27643" "ran" 47
"30430" "sent" 47
"32014" "speak" 47
"32720" "stopped" 47
"34117" "test" 47
"34946" "tough" 47
"38358" "youve" 47
"574" "“the" 46
"1799" "americans" 46
"7028" "cold" 46
"9106" "deep" 46
"10710" "due" 46
"12637" "fear" 46
"12710" "fell" 46
"13333" "followed" 46
"15073" "grow" 46
"15937" "helped" 46
"17012" "image" 46
"17745" "internet" 46
"17880" "involved" 46
"19280" "lake" 46
"19603" "learning" 46
"20738" "main" 46
"24243" "opening" 46
"24727" "p" 46
"26673" "press" 46
"30264" "seem" 46
"30484" "serious" 46
"31054" "sign" 46
"31232" "sitting" 46
"31236" "situation" 46
"33124" "sugar" 46
"34970" "towards" 46
"35633" "type" 46
"38035" "wrote" 46
"202" "“" 45
"1626" "allowed" 45
"3734" "below" 45
"6492" "chris" 45
"8287" "created" 45
"8957" "de" 45
"15075" "growing" 45
"15366" "hall" 45
"16864" "ice" 45
"18139" "james" 45
"18499" "judge" 45
"20350" "lord" 45
"21901" "miles" 45
"22153" "mix" 45
"28520" "republican" 45
"32979" "style" 45
"36952" "wall" 45
"37264" "welcome" 45
"38021" "written" 45
"1657" "alone" 44
"4605" "bowl" 44
"6731" "clean" 44
"8644" "customers" 44
"10399" "double" 44
"10949" "eating" 44
"11094" "effort" 44
"15247" "h" 44
"16521" "hospital" 44
"17043" "immediately" 44
"17233" "included" 44
"18396" "join" 44
"20850" "manager" 44
"22883" "named" 44
"25763" "pictures" 44
"28491" "reported" 44
"28787" "review" 44
"28898" "ride" 44
"30500" "served" 44
"34082" "terms" 44
"34509" "throughout" 44
"35380" "trust" 44
"36933" "walked" 44
"37168" "weather" 44
"1317" "agency" 43
"1364" "agreed" 43
"2193" "apparently" 43
"2584" "ass" 43
"3762" "benefits" 43
"5094" "built" 43
"7756" "contract" 43
"9502" "despite" 43
"12454" "families" 43
"12549" "fast" 43
"13293" "focus" 43
"13954" "g" 43
"14117" "gas" 43
"19622" "leaves" 43
"20365" "lose" 43
"20439" "low" 43
"24793" "paid" 43
"25692" "photo" 43
"26739" "prices" 43
"28207" "regular" 43
"29223" "rose" 43
"29495" "sad" 43
"30266" "seemed" 43
"30623" "shall" 43
"32925" "student" 43
"33607" "table" 43
"33876" "tea" 43
"35389" "truth" 43
"37164" "wearing" 43
"37237" "weight" 43
"37261" "wel" 43
"2567" "asking" 42
"5460" "calls" 42
"8027" "costs" 42
"8768" "damn" 42
"10627" "drop" 42
"12064" "executive" 42
"12395" "fair" 42
"15457" "hands" 42
"16006" "heres" 42
"16844" "i’ll" 42
"17777" "interview" 42
"19575" "league" 42
"19948" "liked" 42
"20069" "listen" 42
"20364" "los" 42
"20381" "lots" 42
"21087" "marriage" 42
"21566" "member" 42
"21622" "menu" 42
"21675" "message" 42
"22955" "nation" 42
"24239" "opened" 42
"24586" "overall" 42
"25770" "piece" 42
"26646" "present" 42
"28302" "release" 42
"28990" "risk" 42
"29015" "river" 42
"29895" "scene" 42
"33187" "sun" 42
"35505" "turns" 42
"37683" "winter" 42
"38156" "ya" 42
"38331" "youll" 42
"2493" "article" 41
"3759" "benefit" 41
"4237" "blood" 41
"6445" "chocolate" 41
"7664" "construction" 41
"8309" "credit" 41
"8735" "daily" 41
"9471" "design" 41
"9526" "details" 41
"10912" "earth" 41
"11918" "events" 41
"11923" "eventually" 41
"13793" "fruit" 41
"14450" "gives" 41
"14806" "grand" 41
"20394" "louis" 41
"20848" "management" 41
"21301" "mayor" 41
"24001" "officers" 41
"24796" "pain" 41
"27328" "putting" 41
"27841" "reality" 41
"28936" "rights" 41
"29513" "safe" 41
"29730" "sat" 41
"30210" "seconds" 41
"30499" "serve" 41
"35951" "union" 41
"3652" "beginning" 40
"5408" "cake" 40
"6160" "characters" 40
"6269" "cheese" 40
"6452" "choice" 40
"6466" "choose" 40
"9588" "development" 40
"10311" "don" 40
"10647" "drug" 40
"10928" "easier" 40
"11520" "english" 40
"13021" "fish" 40
"13373" "football" 40
"14022" "gam" 40
"14684" "google" 40
"14767" "grade" 40
"15083" "growth" 40
"16988" "illinois" 40
"17656" "insurance" 40
"19192" "l" 40
"19432" "latest" 40
"19563" "leading" 40
"20490" "luck" 40
"21615" "mention" 40
"22045" "minute" 40
"23657" "novel" 40
"23996" "officer" 40
"24075" "older" 40
"25772" "pieces" 40
"26247" "poor" 40
"26727" "previous" 40
"28662" "restaurant" 40
"29419" "runs" 40
"30485" "seriously" 40
"31830" "songs" 40
"32942" "study" 40
"34148" "texas" 40
"34329" "thi" 40
"34511" "throw" 40
"34927" "totally" 40
"37162" "wear" 40
"38190" "yard" 40
"784" "absolutely" 39
"1050" "additional" 39
"3587" "becomes" 39
"4681" "brand" 39
"11965" "evidence" 39
"13820" "fuck" 39
"14511" "global" 39
"17372" "industry" 39
"17719" "interested" 39
"18536" "jump" 39
"18919" "king" 39
"19244" "lady" 39
"22983" "nature" 39
"24357" "oregon" 39
"25070" "particular" 39
"26007" "player" 39
"26619" "prepared" 39
"27387" "quarter" 39
"27595" "raised" 39
"28634" "respect" 39
"31210" "sister" 39
"31261" "size" 39
"32305" "square" 39
"32470" "starts" 39
"32626" "stick" 39
"32999" "subject" 39
"33994" "telling" 39
"34028" "ten" 39
"34951" "tour" 39
"35032" "traditional" 39
"35160" "travel" 39
"36991" "wanna" 39
"13" "�" 38
"3389" "base" 38
"3503" "beach" 38
"3952" "bigger" 38
"4617" "box" 38
"7611" "consider" 38
"9005" "debt" 38
"10214" "doctor" 38
"10414" "doubt" 38
"11823" "etc" 38
"11911" "evening" 38
"12017" "except" 38
"12250" "extra" 38
"12384" "failed" 38
"12918" "finding" 38
"13548" "fourth" 38
"15814" "hearing" 38
"18810" "key" 38
"23608" "note" 38
"24057" "okay" 38
"25739" "picked" 38
"26335" "positive" 38
"26996" "property" 38
"27661" "range" 38
"27722" "rate" 38
"28871" "rich" 38
"30217" "secret" 38
"30934" "showed" 38
"32219" "sports" 38
"32681" "stock" 38
"33881" "teacher" 38
"34687" "tired" 38
"35040" "traffic" 38
"36541" "version" 38
"37886" "workers" 38
"37934" "worse" 38
"866" "account" 37
"1381" "ahead" 37
"2019" "annual" 37
"2360" "areas" 37
"2646" "association" 37
"2746" "attack" 37
"5848" "catch" 37
"6115" "changed" 37
"6170" "charges" 37
"7336" "complex" 37
"7616" "considered" 37
"8611" "currently" 37
"8715" "dad" 37
"11082" "effect" 37
"14293" "george" 37
"14477" "glass" 37
"14613" "gold" 37
"15067" "groups" 37
"15806" "healthy" 37
"16293" "holding" 37
"16541" "hotel" 37
"16843" "i’d" 37
"19624" "leaving" 37
"19855" "library" 37
"21046" "mark" 37
"21436" "meat" 37
"22107" "missed" 37
"26175" "policy" 37
"26885" "products" 37
"27379" "quality" 37
"27810" "readers" 37
"28497" "reports" 37
"29522" "safety" 37
"29760" "sauce" 37
"31060" "signed" 37
"31698" "society" 37
"32224" "spot" 37
"33307" "supposed" 37
"33812" "taste" 37
"34447" "thoughts" 37
"34566" "tickets" 37
"34960" "tournament" 37
"35018" "trade" 37
"36419" "various" 37
"36613" "victory" 37
"37018" "warm" 37
"37064" "wasn’t" 37
"37196" "wedding" 37
"37675" "winning" 37
"37964" "wow" 37
"732" "ability" 36
"2265" "approach" 36
"4877" "british" 36
"6121" "changes" 36
"7390" "computer" 36
